Type,SKU,Name,Published,Categories,Regular price,Stock,In stock?,Featured,Short description
simple,ER-001,Changeable studs,1,ear-rings,399,50,1,1,Stylish changeable stud earrings for daily wear.
simple,ER-002,Flower Stud with string earrings,1,ear-rings,399,50,1,1,Flower stud with matching string earrings.
simple,ER-003,Panchaloham ear rings butta,1,ear-rings,1000,20,1,0,Traditional Panchaloham ear rings butta with ruby and pearl detailing.
simple,ST-001,Panchaloham j studs,1,studs,350,30,1,0,Panchaloham J-line stud earrings with sparkling stone settings.
simple,NK-001,5 lines Chandraharam,1,necklaces,699,30,1,1,Traditional five-line Chandraharam necklace.
simple,NK-002,Pendant with Chandraharam & black beads,1,necklaces,799,25,1,1,Pendant set with Chandraharam and black beads.
simple,NK-003,Short black beads,1,necklaces,499,0,0,1,Short black bead necklace — classic style.
simple,NK-004,2lines long black beads,1,necklaces,799,40,1,0,Two-line long black beads necklace.
simple,CK-001,Mini chocker,1,chockers,399,0,0,0,Antique finish mini choker.
simple,BG-001,Gold kada,1,bangles,399,60,1,1,Gold-tone kada bangle.
simple,LH-001,Thali chain (GJ-1),1,long-harams,399,35,1,1,Traditional thali chain design GJ-1.
simple,HM-001,Offer champaswaralu,1,"handmade-collection,ear-rings",399,45,1,0,Handmade champaswaralu — limited offer.
simple,HM-002,3lines earchains,1,"handmade-collection,ear-rings",399,50,1,0,Handcrafted three-line ear chains.
simple,HM-003,Gold matilu,1,"handmade-collection,ear-rings",399,40,1,0,Gold-tone matilu ear jewelry.
simple,HM-004,Pink antique pendant chain,1,"handmade-collection,necklaces",399,30,1,0,Pink stone antique pendant with chain.
simple,HM-005,Chain with pearls,1,"handmade-collection,necklaces",299,55,1,0,Delicate chain with pearl accents.
simple,LC-001,5 ball black beads,1,latest-collection,500,20,1,0,Latest five-ball black beads design.
simple,LC-002,Pink stone Laxmi BB,1,latest-collection,500,15,1,0,Pink stone Laxmi black beads.
simple,IG-001,Nakshi kada,1,"instagram-collection,bangles",399,0,0,0,As seen on Instagram — Nakshi kada.
simple,IG-002,Green butta,1,"instagram-collection,ear-rings",399,0,0,0,Green butta earrings from Instagram collection.
simple,CB-001,BB COMBO,1,"necklaces,handmade-collection",699,25,1,1,Best-selling BB combo set.
